,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,System CAR Code (Daily),DPD,age,Vehicle Age
27427,160000.0,159686.1,60,0,7,11400.0,2,10,139,2019,0,PL,45,4
27441,13500.0,12686.25,12,1,0,20000.0,1,4,157,2014,0,PL,52,9
27462,30000.0,0.0,18,1,4,14000.0,2,10,139,2012,0,PL,45,11
27560,17500.0,17500.0,18,0,8,12500.0,1,4,111,2015,1,NPL,42,8
27564,16000.0,16000.0,36,0,9,13000.0,1,4,23,2011,1,NPL,66,12
27585,10000.0,9661.26,18,1,4,12000.0,1,4,147,2021,0,PL,35,2
27594,30000.0,28513.17,36,0,9,15000.0,1,4,144,2017,0,PL,53,6
27600,15500.0,13912.93,18,0,0,30000.0,1,4,111,2010,0,PL,55,13
27608,19000.0,19000.0,36,1,9,20000.0,1,4,23,2014,0,PL,34,9
27679,16000.0,16000.0,30,0,4,17700.0,1,18,51,2010,0,PL,40,13
27695,26000.0,26000.0,24,1,0,30000.0,1,4,14,2017,0,PL,22,6
27734,23600.0,23182.38,24,1,4,17000.0,0,16,119,2001,0,PL,28,22
27854,14000.0,14000.0,12,0,8,8000.0,1,4,144,2010,1,NPL,41,13
27887,15000.0,14034.15,12,1,9,12000.0,1,4,147,2022,0,PL,57,1
27903,12000.0,12000.0,18,1,4,20000.0,1,15,116,2012,0,PL,51,11
27930,233000.0,233000.0,60,1,0,18000.0,2,16,65,2010,1,PL,45,13
27959,24100.0,24100.0,18,0,0,15000.0,1,18,49,2019,0,PL,26,4
27966,27500.0,26912.96,24,0,4,19400.0,1,4,144,2019,0,PL,46,4
27967,27000.0,26448.93,24,0,8,10000.0,1,4,144,2012,0,PL,29,11
27974,21000.0,20825.25,36,0,4,22000.0,0,4,19,2014,0,PL,31,9
27988,24000.0,23722.59,12,1,4,20000.0,1,4,111,2018,0,PL,26,5
27996,34000.0,34000.0,36,1,0,15000.0,1,4,147,2022,1,NPL,33,1
28018,4500.0,4168.83,12,1,4,17000.0,1,4,143,2005,0,PL,45,18
28082,7600.0,7128.07,12,1,8,20000.0,1,4,146,2006,0,PL,53,17
28085,27000.0,26814.98,36,1,8,12000.0,1,4,144,2012,0,PL,37,11
28116,23000.0,21264.94,24,1,8,12000.0,1,4,144,2016,0,PL,42,7
