,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,System CAR Code (Daily),DPD,age,Vehicle Age
0,7500.0,0.0,12,1,4,10000.0,2,16,124,2002,0,PL,31,21
22,20000.0,18434.0,12,1,8,15000.0,1,4,145,2019,1,NPL,29,4
59,165000.0,0.0,60,1,0,30000.0,0,16,142,2010,0,NPL,33,13
61,28000.0,26483.19,24,0,8,15000.0,1,4,41,2015,1,NPL,34,8
64,51000.0,50715.88,36,0,8,10000.0,1,4,98,2018,2,NPL,28,5
65,220000.0,0.0,60,1,4,25000.0,2,16,65,2006,0,PL,51,17
69,14000.0,13975.46,36,0,4,13000.0,1,4,144,2009,1,NPL,41,14
72,30000.0,29959.48,24,0,8,20000.0,1,18,58,2019,1,PL,44,4
94,90000.0,89933.6,24,1,4,15000.0,2,10,139,2012,1,PL,57,11
131,37000.0,36011.72,36,1,4,20500.0,1,4,25,2022,2,NPL,26,1
148,17000.0,16920.59,36,1,8,20000.0,1,6,89,2014,0,PL,35,9
168,17000.0,16790.22,18,1,4,20000.0,1,18,48,2012,0,PL,38,11
179,25000.0,24347.9,36,0,8,15000.0,1,4,96,2011,1,NPL,32,12
188,26000.0,23070.54,12,0,5,19950.0,1,18,51,2010,1,PL,39,13
196,40000.0,39506.09,36,0,0,12000.0,1,4,98,2019,1,PL,35,4
211,185000.0,184655.71,48,0,0,20000.0,2,5,36,2008,0,PL,50,15
232,50000.0,49948.79,24,0,4,9233.0,1,4,97,2019,1,NPL,38,4
233,23000.0,21696.55,18,1,0,24000.0,1,18,51,2011,1,PL,67,12
248,19500.0,19276.06,36,0,0,20000.0,1,4,145,2016,1,PL,44,7
254,21000.0,18421.05,18,0,8,6500.0,1,18,58,2015,1,PL,47,8
274,22000.0,21385.62,24,0,0,30000.0,1,18,58,2015,0,PL,55,8
306,10000.0,5181.42,12,0,4,19500.0,1,4,111,2020,0,PL,29,3
321,17000.0,14831.51,24,1,8,15000.0,1,4,143,2010,0,PL,49,13
352,25500.0,25213.02,24,1,0,28000.0,0,16,119,2000,0,PL,62,23
368,29000.0,0.0,18,1,9,12000.0,1,4,145,2019,0,PL,66,4
382,170000.0,167403.74,48,0,0,20000.0,0,15,133,2014,1,PL,40,9
392,28000.0,26326.67,12,1,8,20000.0,1,4,145,2020,1,NPL,35,3
402,15700.0,15594.86,36,0,0,30000.0,1,4,144,2011,1,NPL,55,12
414,197000.0,197000.0,60,1,5,23538.0,0,4,19,2011,1,NPL,31,12
426,35000.0,35000.0,36,0,0,15000.0,1,4,111,2020,2,NPL,42,3
458,10000.0,5949.79,12,1,9,20000.0,1,4,144,2019,1,PL,50,4
480,19000.0,18932.1,18,1,8,12000.0,1,4,144,2018,1,NPL,43,5
483,200000.0,199750.29,60,0,9,20000.0,2,10,139,2012,1,PL,33,11
503,190000.0,190000.0,60,1,8,30000.0,0,16,12,2009,2,NPL,35,14
505,15000.0,15000.0,18,0,0,15000.0,1,4,111,2012,2,NPL,39,11
510,150000.0,150000.0,60,1,0,19000.0,1,18,51,2012,1,PL,43,11
535,8600.0,8059.34,12,1,8,13000.0,1,18,82,2011,1,NPL,30,12
544,70000.0,66449.75,24,1,4,30000.0,0,16,30,2005,2,NPL,45,18
549,16000.0,15990.65,18,1,4,13000.0,1,4,86,2014,0,PL,28,9
562,26000.0,21697.43,18,0,9,15000.0,1,4,144,2016,0,PL,37,7
582,16500.0,16149.63,24,0,9,15000.0,1,4,23,2011,1,NPL,35,12
608,150000.0,150000.0,60,1,0,25000.0,2,16,65,2010,2,NPL,28,13
619,39500.0,38409.75,30,0,0,30000.0,1,4,42,2017,1,NPL,39,6
625,31000.0,30133.93,36,1,4,15000.0,1,4,97,2013,1,NPL,38,10
638,23000.0,23000.0,36,0,0,7000.0,1,18,51,2011,2,NPL,32,12
656,46000.0,46000.0,36,0,8,10000.0,1,4,97,2017,2,NPL,37,6
661,30000.0,29769.9,24,0,8,12000.0,1,4,144,2019,1,PL,39,4
681,190000.0,190000.0,48,1,4,24000.0,2,16,65,2008,1,NPL,35,15
733,20000.0,19525.0,24,1,8,12000.0,1,18,51,2011,0,PL,32,12
779,10000.0,9996.01,12,1,0,18200.0,1,4,21,2007,2,NPL,41,16
781,14200.0,13053.27,12,0,4,9000.0,1,4,144,2009,2,NPL,23,14
787,18500.0,18327.61,18,1,8,11000.0,1,18,49,2018,0,PL,33,5
791,28000.0,28000.0,12,1,9,30000.01,1,4,145,2021,2,NPL,55,2
827,17500.0,17428.68,36,0,5,18370.0,1,4,86,2013,0,PL,41,10
908,110000.0,109101.15,60,0,0,25000.0,0,4,20,2005,1,NPL,35,18
912,20000.0,20000.0,18,1,1,30000.0,1,4,43,2007,1,PL,69,16
959,35000.0,34909.64,24,1,8,15000.0,1,4,42,2017,0,PL,28,6
964,23000.0,22986.88,18,0,8,17000.0,1,4,109,2011,0,PL,37,12
1045,30000.0,27436.57,24,0,8,15000.0,1,4,144,2017,1,NPL,43,6
1049,230000.0,230000.0,60,0,7,22000.0,0,4,19,2013,1,NPL,36,10
1057,14000.0,13854.61,36,0,0,20000.0,1,4,111,2011,1,NPL,48,12
1112,159000.0,159000.0,60,1,9,20000.0,0,16,30,2009,2,NPL,37,14
1114,110000.0,110000.0,60,0,8,15000.0,0,4,20,2005,2,NPL,36,18
1134,140000.0,138963.28,60,0,8,22770.0,0,16,142,2010,1,NPL,42,13
1139,17000.0,14143.92,24,1,8,20000.0,1,4,111,2015,0,PL,53,8
1144,113000.0,112817.38,48,0,4,10000.0,0,10,84,2013,1,PL,31,10
1146,27000.0,26768.36,36,0,4,16600.0,1,4,144,2012,1,NPL,41,11
1149,18300.0,18261.78,24,0,0,20000.0,1,4,23,2013,1,NPL,40,10
1153,26000.0,24380.81,30,0,0,12000.0,1,4,144,2012,1,NPL,29,11
1163,50000.0,31971.48,12,1,9,30000.0,2,10,139,2013,0,NPL,47,10
1170,218000.0,0.0,60,1,1,23000.0,2,5,36,2005,0,NPL,48,18
1171,120000.0,120000.0,61,0,0,20000.0,0,4,20,2005,0,PL,34,18
1173,16500.0,15955.47,36,0,4,16000.0,1,15,114,2015,0,PL,55,8
1176,29000.0,29000.0,36,1,8,20000.0,1,4,41,2016,2,NPL,33,7
1191,178000.0,174556.84,60,1,9,13000.0,2,5,36,2006,0,PL,38,17
1205,27300.0,27300.0,18,1,4,9000.0,1,4,144,2017,2,NPL,34,6
1223,230000.0,230000.0,60,1,4,20000.0,2,16,65,2007,2,NPL,34,16
1241,33000.0,31877.48,24,0,0,15000.0,1,4,144,2020,1,PL,38,3
1252,13200.0,12286.79,24,1,8,20000.0,1,4,22,2011,0,NPL,36,12
1282,36375.0,35619.72,36,1,0,20000.0,1,4,97,2014,1,NPL,22,9
1298,24000.0,21930.71,24,0,4,20000.0,1,4,144,2015,1,PL,40,8
1300,240000.0,238676.22,60,0,1,22230.0,2,16,65,2009,0,PL,40,14
1327,48000.0,47217.95,36,1,8,20000.0,1,4,97,2018,1,NPL,50,5
1334,40000.0,39999.71,36,0,0,25000.0,0,10,70,2002,1,NPL,29,21
1342,26800.0,26207.14,36,0,0,30000.0,0,4,19,1999,1,NPL,50,24
1347,29000.0,29000.0,36,1,10,20000.0,1,4,145,2022,2,NPL,30,1
1392,195000.0,194986.62,36,0,0,30000.0,0,16,142,2015,1,PL,51,8
1397,26600.0,23346.05,24,0,8,9000.0,1,4,144,2013,0,PL,56,10
1432,140000.0,140000.0,60,0,0,20000.0,2,5,36,2003,2,NPL,40,20
1442,28500.0,28427.97,18,0,4,28000.0,1,4,131,2019,0,NPL,29,4
1446,30000.0,28107.93,36,0,9,30000.0,1,4,144,2017,0,PL,53,6
1464,15000.0,14956.52,18,1,4,15000.0,1,4,147,2011,1,PL,29,12
1472,100000.0,97932.23,24,1,8,25000.0,2,16,64,2003,2,NPL,47,20
1475,123200.0,0.0,36,1,9,24500.0,2,5,36,2006,0,PL,58,17
1478,54300.0,54179.92,36,0,0,15000.0,1,18,87,2020,1,NPL,27,3
1505,18000.0,16846.07,18,1,8,27000.0,1,18,50,2010,1,NPL,45,13
1512,23000.0,22848.6,24,0,8,15000.0,1,4,144,2012,0,PL,27,11
1514,230000.0,230000.0,60,1,8,30000.0,2,16,65,2010,2,NPL,49,13
1518,23000.0,22506.24,24,1,0,15000.0,1,4,144,2013,2,NPL,38,10
1523,23000.0,18094.35,12,0,4,18000.0,1,18,51,2011,1,NPL,35,12
1553,231000.0,230962.8,60,1,8,30000.0,2,5,36,2008,1,PL,39,15
1563,16000.0,15936.26,18,0,3,13000.0,1,4,111,2011,0,PL,33,12
1567,30000.0,29958.86,18,0,4,15000.0,1,17,106,2015,1,PL,32,8
1569,152550.0,152550.0,60,1,0,30000.0,0,16,67,2005,2,NPL,36,18
1571,25000.0,24990.56,24,0,4,11200.0,1,18,58,2016,0,PL,40,7
1577,110000.0,110000.0,60,0,4,12000.0,0,4,68,2004,1,NPL,29,19
1599,15500.0,15469.23,24,0,0,12000.0,1,4,144,2011,0,PL,37,12
1609,117000.0,117000.0,60,0,4,15000.0,0,10,84,2012,1,PL,40,11
1626,260000.0,0.0,60,1,8,20000.0,0,11,93,2019,0,NPL,41,4
1627,75000.0,65796.25,24,1,8,13000.0,0,16,142,2004,0,NPL,39,19
1650,247000.0,246426.39,60,0,4,20000.0,3,16,61,2007,0,PL,48,16
1677,68000.0,67756.17,48,0,8,15000.0,0,16,30,2002,1,PL,30,21
1682,29000.0,26590.04,36,1,1,7000.0,1,4,147,2019,0,NPL,24,4
1706,166000.0,165603.24,60,0,8,16737.0,0,8,0,2013,0,PL,31,10
1717,23000.0,22924.24,24,0,8,9000.0,1,4,144,2012,1,PL,25,11
1764,250000.0,250000.0,60,1,8,17000.0,2,16,63,2015,2,NPL,42,8
1776,27300.0,27204.98,36,1,8,20000.0,1,18,77,2017,2,NPL,30,6
1788,14600.0,14555.46,24,0,0,10000.0,1,4,66,2008,1,PL,39,15
1825,98500.0,0.0,48,0,0,20000.0,1,18,51,2012,0,PL,54,11
1853,140000.0,139298.19,60,0,0,25000.0,2,5,36,2003,0,PL,40,20
1874,50000.0,48616.32,36,0,4,17166.6,1,4,97,2019,1,NPL,30,4
1876,220000.0,220000.0,60,0,4,27880.0,2,5,36,2013,1,PL,61,10
1882,240000.0,237925.23,60,0,0,30000.0,2,16,65,2005,1,PL,41,18
1883,25000.0,24849.38,30,1,1,11500.0,1,18,53,2019,0,PL,38,4
1903,40000.0,39991.9,18,1,4,8500.0,1,17,126,2017,0,PL,27,6
1908,23000.0,22924.69,24,1,8,21000.0,1,4,144,2012,1,PL,39,11
1927,26000.0,25754.96,36,0,8,13000.0,1,18,51,2011,1,NPL,31,12
1933,31000.0,30989.94,36,0,4,18000.0,1,4,23,2019,1,NPL,34,4
1934,24000.0,21209.59,24,0,0,22000.0,1,4,111,2018,0,PL,37,5
1955,180000.0,180000.0,60,1,8,26000.0,0,4,20,2007,2,NPL,29,16
1985,12700.0,10407.99,12,1,8,15000.0,1,18,50,2008,1,NPL,32,15
1989,12000.0,11694.08,24,0,0,20000.0,1,18,50,2008,1,NPL,32,15
2028,25000.0,24866.29,36,0,8,20000.0,1,4,144,2012,1,NPL,51,11
2037,97800.0,94964.67,42,1,0,25000.0,0,16,142,2006,1,NPL,66,17
2038,28000.0,27937.51,24,0,0,16000.0,1,18,49,2022,0,PL,46,1
2057,225000.0,222456.12,48,1,8,19500.0,3,16,27,2010,0,PL,29,13
2064,27000.0,26989.72,24,1,1,15000.0,1,4,144,2017,1,PL,35,6
2099,99000.0,98945.03,60,0,0,25000.0,0,16,142,2005,0,PL,30,18
2101,180000.0,179522.88,61,1,9,15000.0,2,5,36,2012,0,PL,37,11
2136,177000.0,0.0,60,1,0,30000.0,2,8,10,2010,0,PL,53,13
2137,23000.0,22754.69,36,1,0,30000.0,1,4,147,2016,1,PL,40,7
2193,50000.0,48653.82,24,0,0,20000.0,1,4,97,2019,1,PL,26,4
2202,20000.0,18540.35,18,1,4,20000.0,1,4,144,2012,0,PL,46,11
2244,200000.0,199983.52,60,1,0,30000.0,2,5,36,2006,0,PL,46,17
2245,50000.0,49857.68,36,1,8,12000.0,1,17,126,2020,1,NPL,40,3
2273,15000.0,15000.0,12,0,0,20000.0,1,4,144,2011,2,NPL,26,12
2276,80000.0,79960.31,36,1,8,18000.0,0,4,68,2004,1,PL,22,19
2299,20000.0,20000.0,24,1,0,30000.0,1,4,144,2010,2,NPL,31,13
2330,210000.0,208371.49,60,0,0,30000.0,2,5,36,2006,0,PL,56,17
2362,15000.0,14019.2,24,1,8,19000.0,1,4,144,2010,1,PL,51,13
2364,28000.0,26765.06,36,0,0,20000.0,1,18,58,2018,0,PL,34,5
2371,36000.0,0.0,24,0,4,18000.0,1,18,58,2018,0,PL,31,5
2378,25000.0,21858.11,24,1,8,20000.0,1,4,144,2012,1,NPL,47,11
2383,72000.0,71925.51,60,0,1,21000.0,0,4,19,2005,0,PL,51,18
2388,70000.0,69645.52,36,0,0,15000.0,0,16,30,2003,1,PL,43,20
2389,31500.0,29592.61,30,1,8,25000.0,1,4,144,2019,0,NPL,38,4
2404,120000.0,119806.76,61,0,4,12000.0,0,4,20,2004,0,PL,36,19
2406,100000.0,98057.1,42,1,8,12000.0,2,16,64,2000,1,PL,50,23
2413,31500.0,30697.34,30,1,8,30000.0,1,4,144,2017,0,NPL,56,6
2446,26000.0,25856.81,24,0,0,15000.0,1,4,144,2013,0,PL,35,10
2470,30000.0,28534.46,36,1,8,20000.0,1,4,147,2022,0,PL,35,1
2473,42000.0,42000.0,24,1,0,30000.0,1,4,97,2016,2,NPL,37,7
2499,180000.0,180000.0,60,0,0,25000.0,0,10,70,2002,2,NPL,29,21
2510,40000.0,39931.68,36,0,4,20000.0,1,4,97,2018,1,PL,27,5
2519,26000.0,25868.7,36,1,9,9000.0,1,4,41,2011,0,NPL,56,12
2533,40000.0,39476.64,36,0,0,15000.0,1,4,42,2017,1,PL,58,6
2536,32000.0,32000.0,36,0,8,22000.0,1,4,144,2019,2,NPL,38,4
2537,10500.0,9403.52,24,1,0,20000.0,1,18,82,2012,1,NPL,45,11
2540,49000.0,48945.53,30,1,8,15000.0,1,17,60,2018,0,PL,25,5
2556,28000.0,27629.48,36,0,8,10000.0,1,4,144,2019,1,PL,30,4
2565,15000.0,14843.56,18,0,0,25000.0,1,4,111,2010,0,PL,47,13
2567,21000.0,21000.0,18,0,9,15000.0,1,4,86,2015,2,NPL,46,8
2574,20000.0,0.0,18,1,4,16000.0,1,4,144,2014,0,PL,53,9
2576,177000.0,176941.14,60,1,8,25000.0,2,5,36,2009,1,NPL,57,14
2623,8500.0,6977.06,12,1,8,10000.0,1,18,80,2010,0,NPL,32,13
2637,4500.0,3938.63,12,0,0,10000.0,1,4,143,2004,1,PL,38,19
2671,30000.0,25972.88,24,1,8,12000.0,1,18,3,2018,0,PL,27,5
2681,31000.0,29939.8,36,0,0,20000.0,1,4,41,2014,1,NPL,49,9
2691,189000.0,189000.0,60,0,0,15000.0,2,16,65,2008,1,PL,42,15
2699,200000.0,197486.11,60,1,9,20000.0,2,8,11,2013,0,PL,56,10
2708,31000.0,29000.51,30,1,0,30000.0,1,4,144,2019,1,NPL,38,4
2738,14000.0,13967.4,36,0,4,20000.0,1,4,111,2013,1,NPL,42,10
2746,233000.0,222296.98,48,0,4,14000.0,0,16,152,2014,0,PL,58,9
2760,14000.0,12069.5,18,0,4,15000.0,1,18,121,2013,1,PL,40,10
2796,158000.0,157957.37,48,0,4,14000.0,0,4,9,2013,1,PL,33,10
2801,48000.0,48000.0,36,1,4,15000.0,1,4,97,2018,2,NPL,25,5
2802,12000.0,11979.73,18,1,4,9000.0,1,3,37,2017,0,NPL,22,6
2812,27000.0,25406.67,24,0,0,13000.0,1,4,144,2014,1,NPL,38,9
2815,170000.0,169998.57,60,1,9,12500.0,2,5,36,2004,1,PL,63,19
2824,200000.0,198124.35,48,1,4,18000.0,2,16,65,2010,1,NPL,36,13
2826,25000.0,14527.5,24,0,8,13000.0,0,16,30,2004,0,PL,25,19
2837,21000.0,20814.93,36,1,8,20000.0,0,16,28,1997,1,PL,42,26
2851,31500.0,30783.25,36,0,0,20000.0,1,4,144,2019,1,PL,40,4
2867,142600.0,140356.63,60,1,4,18000.0,0,15,133,2012,1,PL,43,11
2871,260000.0,259582.22,60,0,4,16000.0,2,16,65,2013,0,PL,43,10
2873,160000.0,154407.01,36,0,0,21000.0,0,10,6,2014,0,PL,59,9
2907,50000.0,49522.41,30,1,4,21500.0,1,4,97,2020,0,PL,36,3
2911,20000.0,19934.46,18,0,4,13000.0,1,4,144,2013,0,PL,39,10
2919,159000.0,155282.86,36,0,9,30000.0,0,16,142,2012,1,NPL,36,11
2934,110000.0,110000.0,60,1,8,25000.0,0,16,12,2004,1,PL,55,19
2942,15000.0,14978.71,24,0,8,15000.0,1,4,111,2012,0,PL,36,11
2952,103000.0,103000.0,60,1,0,15000.0,0,16,142,2006,1,NPL,41,17
2961,150000.0,147612.7,48,1,8,15000.0,2,5,36,2004,0,PL,38,19
2962,31000.0,0.0,24,0,8,22000.0,1,4,144,2019,0,NPL,32,4
2970,31800.0,31711.72,36,1,9,20000.0,1,4,147,2021,1,NPL,27,2
2972,40000.0,30120.88,12,0,0,20000.0,1,4,97,2020,1,PL,41,3
2974,27000.0,26698.25,36,1,8,20000.0,1,4,144,2015,1,NPL,49,8
2995,65000.0,63890.44,36,1,4,30000.0,0,1,35,2013,1,PL,47,10
3004,31000.0,29625.06,36,1,0,18000.0,1,4,144,2018,0,PL,47,5
3007,25000.0,24765.58,36,1,0,15000.0,1,4,97,2013,1,NPL,26,10
3014,247000.0,246993.31,60,1,4,25000.0,2,5,36,2010,0,PL,49,13
3020,50000.0,50000.0,36,1,4,14000.0,1,4,99,2021,2,NPL,26,2
3033,27000.0,24989.8,36,0,0,20000.0,1,4,146,2007,1,PL,38,16
3050,42000.0,41819.07,36,1,4,17000.0,1,18,3,2021,1,PL,37,2
3055,31500.0,30413.24,24,0,1,19430.0,1,4,23,2019,1,NPL,33,4
3079,18000.0,17938.8,36,0,4,13000.0,1,4,23,2013,1,NPL,23,10
3091,13000.0,12656.17,18,0,8,12000.0,1,4,111,2010,0,PL,47,13
3114,110000.0,109799.5,36,0,8,30000.0,2,16,64,2000,1,PL,32,23
3117,40000.0,38719.34,24,1,8,10000.0,1,4,97,2016,2,NPL,28,7
3118,33000.0,32929.75,18,1,10,30000.0,1,4,144,2021,1,PL,49,2
3123,15000.0,14518.31,18,1,8,9000.0,1,4,144,2021,1,NPL,32,2
3125,25000.0,25000.0,36,0,8,9000.0,1,4,144,2013,2,NPL,48,10
3126,108500.0,107763.8,60,1,7,15500.0,0,8,0,2010,1,NPL,38,13
3127,30000.0,30000.0,24,0,0,30000.0,1,4,144,2017,2,NPL,47,6
3132,92000.0,92000.0,30,0,0,20000.0,2,10,139,2007,2,NPL,61,16
3165,4500.0,3562.01,12,1,8,9000.0,1,4,143,2004,0,PL,39,19
3168,25500.0,25263.91,24,0,4,25000.0,1,4,144,2012,1,PL,35,11
3179,32000.0,32000.0,36,0,0,20000.0,1,4,144,2021,2,NPL,47,2
3180,24000.0,23408.35,36,0,8,20000.0,1,18,49,2019,0,PL,29,4
3196,28000.0,26105.05,24,0,4,30000.0,1,4,144,2012,1,PL,40,11
3207,25000.0,24761.71,24,0,0,20000.0,1,18,58,2018,0,PL,42,5
3210,30000.0,29013.0,36,0,0,20000.0,2,5,46,1996,0,PL,29,27
3216,67000.0,66133.59,60,0,0,15000.0,0,16,142,2003,0,PL,59,20
3225,244000.0,244000.0,60,0,0,30000.0,2,5,36,2007,1,NPL,48,16
3229,32000.0,30916.75,18,0,9,13000.0,1,4,144,2018,0,PL,54,5
3247,120000.0,120000.0,60,0,0,20000.0,2,16,65,2005,1,NPL,48,18
3267,240000.0,239939.04,48,1,8,15000.0,2,5,36,2014,0,PL,35,9
3273,33000.0,32985.69,36,1,8,20000.0,1,4,144,2019,1,PL,25,4
3296,30000.0,29555.6,36,0,9,9000.0,1,4,144,2018,1,PL,43,5
3306,35000.0,34511.4,30,0,9,15000.0,1,6,92,2009,1,NPL,30,14
3313,27700.0,27700.0,36,1,0,15000.0,1,18,77,2016,2,NPL,38,7
3325,24000.0,23129.37,36,0,4,16000.0,1,4,111,2018,1,NPL,24,5
3333,188000.0,0.0,48,1,0,20000.0,0,16,142,2012,0,NPL,41,11
3335,17500.0,17500.0,36,0,4,15000.0,1,18,51,2010,1,PL,40,13
3339,130000.0,130000.0,60,1,9,18000.0,2,16,64,2003,1,NPL,47,20
3343,79000.0,78854.74,60,0,0,25000.0,0,16,142,2005,0,PL,25,18
3360,80000.0,79867.37,42,1,4,12000.0,2,1,26,2014,1,PL,36,9
3361,39400.0,38491.6,30,1,9,15000.0,0,4,20,2001,0,PL,30,22
3362,25000.0,25000.0,36,0,8,30000.0,1,4,144,2013,2,NPL,42,10
3364,200000.0,199992.69,36,1,4,18000.0,2,5,36,2007,1,PL,34,16
3371,140000.0,139849.27,61,0,0,30000.0,0,4,20,2006,0,PL,47,17
3373,150000.0,150000.0,60,1,8,25000.0,2,16,65,2011,2,NPL,34,12
3375,250000.0,246696.91,60,1,9,30000.0,2,16,65,2011,0,PL,51,12
3407,85000.0,84594.45,60,1,1,16290.0,0,16,142,2005,1,NPL,33,18
3428,36000.0,35470.28,36,1,8,15000.0,1,4,24,2019,1,NPL,31,4
3432,25000.0,24779.96,36,0,0,10000.0,1,4,144,2013,1,NPL,32,10
3436,25000.0,24938.19,18,1,4,15000.0,1,18,58,2015,0,PL,51,8
3442,18000.0,14903.12,18,1,8,13000.0,1,4,146,2010,0,PL,47,13
3458,140000.0,138829.83,60,0,4,20000.0,0,8,1,2008,1,NPL,39,15
3463,150000.0,150000.0,60,1,0,15000.0,2,16,65,2005,1,PL,42,18
3478,140000.0,139232.19,60,0,0,30000.0,0,16,142,2008,0,PL,45,15
3482,17000.0,16926.92,36,0,0,20000.0,1,18,51,2010,1,PL,41,13
3489,190000.0,190000.0,60,1,5,25000.0,2,8,11,2013,2,NPL,36,10
3496,28500.0,28500.0,18,0,4,18000.0,1,18,58,2017,2,NPL,31,6
3499,30000.0,29618.15,18,0,0,20000.0,1,4,145,2020,1,PL,58,3
3507,70000.0,70000.0,30,0,4,12000.0,0,16,30,2003,2,NPL,38,20
3520,16900.0,16079.69,36,1,8,22000.0,1,4,23,2014,0,PL,45,9
3553,25000.0,25000.0,30,1,4,18000.0,1,4,145,2022,2,NPL,40,1
3565,7800.0,7229.68,18,1,8,10000.0,1,18,122,2011,1,PL,60,12
3570,31200.0,31141.63,18,1,0,30000.0,1,4,144,2019,1,NPL,42,4
3592,18000.0,17927.68,24,0,8,15000.0,1,18,51,2011,0,PL,36,12
3608,200000.0,0.0,60,0,1,15000.0,0,16,142,2014,0,PL,32,9
3633,21000.0,0.0,36,0,0,12000.0,1,3,38,2019,0,NPL,24,4
3639,29000.0,27930.6,24,1,4,17000.0,1,4,23,2018,1,NPL,47,5
3648,24700.0,24602.82,36,1,0,20000.0,1,4,144,2015,1,PL,32,8
3659,24300.0,24298.95,36,1,8,15000.0,0,1,8,2007,1,NPL,33,16
3676,140000.0,139962.0,60,1,4,30000.0,2,8,10,2009,0,PL,30,14
3680,190000.0,188712.01,60,1,4,27006.0,2,5,36,2006,1,NPL,44,17
3698,17000.0,16397.43,18,1,0,30000.0,1,18,48,2012,0,PL,39,11
3721,240000.0,240000.0,48,0,4,29300.0,0,4,2,2009,1,PL,42,14
3732,15000.0,14918.22,12,1,4,18000.0,1,4,157,2014,0,PL,38,9
3735,25000.0,21732.51,18,0,0,15000.0,1,4,42,2013,0,PL,22,10
3741,20800.0,20385.43,12,1,4,20000.0,1,4,111,2018,2,NPL,31,5
3752,125000.0,124670.06,60,1,8,15000.0,0,4,20,2003,2,NPL,25,20
3755,120000.0,120000.0,60,0,8,18000.0,0,4,68,2005,2,NPL,38,18
3763,25000.0,23281.58,24,0,8,12000.0,1,4,144,2019,1,PL,47,4
3821,33000.0,32808.51,36,0,4,18000.0,1,4,144,2020,1,NPL,40,3
3839,32000.0,31947.92,36,0,4,9570.0,1,4,144,2018,0,PL,34,5
3916,27000.0,25928.04,36,0,4,15000.0,1,4,144,2012,0,PL,32,11
3934,36500.0,36199.71,36,1,4,17000.0,1,4,97,2014,1,NPL,36,9
3936,20000.0,19049.41,36,0,0,20000.0,1,18,58,2015,0,PL,58,8
3940,200000.0,195777.4,60,1,9,20000.0,2,5,36,2011,0,PL,57,12
3941,28600.0,28592.86,24,1,0,20000.0,1,4,41,2015,1,PL,40,8
4019,33700.0,33700.0,36,0,4,12000.0,1,4,144,2020,1,NPL,35,3
4029,30000.0,30000.0,36,1,4,13000.0,1,4,144,2016,1,PL,29,7
4034,23000.0,22985.52,24,1,8,20000.0,1,4,146,2010,0,PL,35,13
4058,15000.0,12229.83,18,1,9,16000.0,1,4,144,2018,0,PL,51,5
4070,30000.0,29420.03,36,1,4,25000.0,0,4,20,1999,1,PL,29,24
4082,91000.0,90941.18,60,0,0,15000.0,0,11,78,2010,2,NPL,32,13
4085,26000.0,25954.74,18,0,0,20000.0,1,4,147,2018,0,PL,30,5
4088,20000.0,19208.98,24,0,8,17000.0,1,18,58,2014,0,NPL,39,9
4134,120000.0,120000.0,60,0,4,20000.0,0,16,30,2007,1,PL,44,16
4135,15000.0,14902.51,36,1,0,20000.0,1,4,143,2007,1,NPL,44,16
4138,220000.0,213912.68,42,0,0,25000.0,0,9,79,2019,0,PL,62,4
4144,28300.0,28222.83,24,1,0,20000.0,0,4,20,1996,1,NPL,38,27
4149,12600.0,12575.57,18,1,8,12000.0,1,18,52,2013,1,NPL,27,10
4150,37500.0,37470.71,18,0,8,20000.0,1,18,58,2019,1,NPL,27,4
4166,170000.0,169962.8,60,1,9,20000.0,2,5,36,2012,0,PL,58,11
4183,15000.0,13115.06,24,1,8,9000.0,1,4,148,2007,0,PL,52,16
4185,250000.0,250000.0,54,0,4,17983.0,0,4,68,2014,2,NPL,40,9
4220,25000.0,23226.99,36,0,8,10000.0,1,4,144,2014,0,PL,36,9
4277,33000.0,32979.93,18,0,9,25000.0,1,4,157,2022,0,PL,46,1
4280,14500.0,14112.26,36,1,0,10000.0,1,18,52,2013,0,PL,48,10
4284,31500.0,30637.11,36,0,0,15000.0,1,4,41,2014,1,NPL,38,9
4289,70000.0,70000.0,36,0,4,18000.0,1,4,99,2021,2,NPL,31,2
4291,27300.0,27300.0,12,0,0,25000.0,1,4,131,2018,2,NPL,34,5
4300,50000.0,49974.8,36,0,9,20000.0,1,18,87,2020,0,PL,40,3
4314,134000.0,133517.83,60,0,4,15000.0,0,4,20,2007,1,NPL,33,16
4321,11000.0,7632.7,12,1,8,18000.0,1,15,113,2008,1,PL,48,15
4337,231000.0,229883.01,60,0,1,27200.0,2,5,36,2011,1,NPL,42,12
4345,93000.0,90993.43,60,0,0,11000.0,0,4,19,2004,0,PL,32,19
4346,155000.0,155000.0,48,1,0,25000.0,0,11,5,2013,1,NPL,42,10
4350,29200.0,28481.96,36,1,5,17000.0,1,4,23,2018,1,NPL,40,5
4359,170000.0,169807.69,60,1,8,20000.0,0,4,68,2010,1,NPL,32,13
4377,200000.0,199020.27,60,0,9,25000.0,2,16,65,2005,1,NPL,61,18
4383,17700.0,17700.0,36,0,0,30000.0,1,18,51,2010,2,NPL,28,13
4390,31800.0,31800.0,36,1,0,20000.0,1,4,144,2018,1,NPL,52,5
4396,120000.0,119891.67,42,1,0,15000.0,2,16,64,2004,1,PL,48,19
