,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate
84,20000,20000,12,M,STREET VENDOR,10000,PU,ISUZU,D-MAX,2011,CB,351500,S1,26/12/2022,S1,PL,53,12,5.689900427,30%
85,88000,87438.45,60,M,พนักงานบริษัท,16000,CAR,HONDA,CIVIC,2002,CE,137500,S1,18/11/2022,S1,PL,29,21,64,65-75%
86,40000,27707.63,12,F,อื่นๆ,9000,MC,HONDA,PCX 160,2022,BT,84000,S1,1/9/2022,S1,PL,34,1,47.61904762,30-50%
87,180000,177837.87,60,M,เกษตรกร,30000,CAR,HONDA,CITY,2010,AS,251500,S1,6/12/2022,S1,PL,42,13,71.57057654,65-75%
88,105000,102234.04,48,F,พนักงานบริษัท,10050,CAR,HONDA,JAZZ,2004,AI,140000,S1,19/10/2022,S1,PL,39,19,75,65-75%
89,30000,22955.87,24,M,อื่นๆ,15000,CAR,HONDA,CR-V,1998,BF,105500,S1,27/7/2022,S1,PL,60,25,28.43601896,30%
90,150000,134813.57,36,M,พนักงานบริษัท,40000,PU,MITSUBISHI,TRITON,2008,AN,217500,S1,29/6/2022,S1,PL,50,15,68.96551724,65-75%
91,40000,40000,24,F,ข้าราชการ,7000,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S1,17/11/2022,S1,PL,52,7,108.1081081,30%
92,18800,18800,24,F,อื่นๆ,12000,MC,SUZUKI,SMASH 115,2015,AS,29000,S1,24/12/2022,S1,PL,53,8,64.82758621,65-75%
93,193000,193000,60,F,STREET VENDOR,15000,CAR,SUZUKI,CIAZ,2016,AH,275500,S1,17/11/2022,S1,PL,29,7,70.05444646,65-75%
94,35000,31860.09,18,M,พนักงานบริษัท,30000,MC,HONDA,CLICK 150I,2018,BE,47000,S1,18/10/2022,S1,PL,52,5,74.46808511,65-75%
95,50000,48153.24,24,M,พนักงานบริษัท,20000,PU,TOYOTA,HILUX VIGO,2007,CV,245000,S1,1/12/2022,S1,PL,44,16,20.40816327,30%
96,31500,31469.43,36,F,STREET VENDOR,15000,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,4/8/2022,S1,PL,46,4,75,65-75%
98,220000,218709.73,60,M,เกษตรกร,20000,PU,ISUZU,D-MAX,2014,CR,531000,S1,26/8/2022,S1,PL,49,9,41.43126177,30-50%
99,239000,239000,60,M,STREET VENDOR,40000,PU,TOYOTA,HILUX VIGO,2009,EX,342000,S1,13/9/2022,S1,PL,43,14,69.88304094,65-75%
100,154000,153992.84,36,F,อื่นๆ,30000,PU,ISUZU,D-MAX,2003,AO,191500,S1,29/8/2022,S1,PL,52,20,80.41775457,75%
102,200000,200000,60,F,ข้าราชการ,36000,PU,ISUZU,D-MAX,2007,CO,309500,S1,27/12/2022,S1,PL,51,16,64.62035541,65-75%
