,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate
1880,250000,221385.46,30,F,พนักงานบริษัท,15000,PU,ISUZU,D-MAX,2017,AP,547000,S1,9/7/2022,S1,PL,30,6,45.70383912,30-50%
1881,200000,194800.43,60,F,บุคลากรทางการแพทย์,30000,CAR,FORD,ECOSPORT,2016,AR,309500,S1,7/11/2022,S1,PL,48,7,64.62035541,65-75%
1882,110000,110000,60,F,STREET VENDOR,25000,CAR,HONDA,JAZZ,2006,CM,175000,S1,11/11/2022,S1,PL,39,17,62.85714286,65-75%
1884,240000,240000,30,F,อาจารย์,24000,PU,TOYOTA,HILUX VIGO,2011,ED,371500,S1,10/12/2022,S1,PL,66,12,64.60296097,65-75%
1886,26000,23636.95,24,F,อื่นๆ,12000,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,12/9/2022,S1,PL,45,9,74.28571429,65-75%
1887,120000,120000,60,F,พนักงานบริษัท,29820,CAR,HONDA,JAZZ,2010,AM,272500,S1,14/12/2022,S1,PL,38,13,44.03669725,30-50%
1888,250000,250000,60,M,ข้าราชการ,35800,PU,ISUZU,MU-7,2010,BH,359500,S1,29/11/2022,S1,PL,40,13,69.54102921,65-75%
1889,290000,282660.47,60,M,STREET VENDOR,26000,CAR,MAZDA,CX3,2016,AJ,468000,S1,14/11/2022,S1,PL,39,7,61.96581197,65-75%
1890,181000,181000,60,F,พนักงานบริษัท,18000,PU,FORD,RANGER,2011,BB,279000,S1,16/11/2022,S1,PL,27,12,64.87455197,65-75%
1892,15000,14559.91,24,M,อื่นๆ,15000,MC,HONDA,SCOOPY I,2016,CP,32000,S1,17/11/2022,S1,PL,28,7,46.875,30-50%
1893,32000,32000,30,M,อื่นๆ,25000,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,30/12/2022,S1,PL,27,5,74.41860465,65-75%
1894,31500,29905.34,36,M,เกษตรกร,25000,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,25/8/2022,S1,PL,41,4,75,65-75%
1895,80000,79916.94,36,M,พนักงานบริษัท,19000,MC,HONDA,REBEL 500,2018,BY,153000,S1,9/8/2022,S1,PL,34,5,52.2875817,50-65%
1897,132000,130164.91,60,M,พนักงานบริษัท,20000,CAR,TOYOTA,VIOS,2007,DM,176500,S1,3/9/2022,S1,PL,34,16,74.78753541,65-75%
1899,53700,53229.39,36,F,ข้าราชการ,32000,PU,FORD,RANGER,2006,BQ,179000,S1,20/9/2022,S1,PL,47,17,30,30%
1900,15000,14955.2,24,F,อื่นๆ,17000,MC,HONDA,WAVE 110 I,2011,AI,21000,S1,25/10/2022,S1,PL,53,12,71.42857143,65-75%
1901,31500,31008.45,24,F,STREET VENDOR,10000,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,12/10/2022,S1,PL,38,5,75,65-75%
1902,35000,32195.39,36,F,STREET VENDOR,30000,CAR,TOYOTA,COROLLA ALTIS,2001,EF,115000,S1,16/8/2022,S1,PL,53,22,30.43478261,30-50%
1903,25000,25000,24,F,เกษตรกร,20000,MC,HONDA,WAVE 110 I,2014,CJ,36000,S1,7/12/2022,S1,PL,33,9,69.44444444,65-75%
1904,33000,30135.65,24,M,เกษตรกร,20000,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,1/9/2022,S1,PL,41,3,73.33333333,65-75%
1905,30000,29373.4,36,M,อื่นๆ,12000,MC,HONDA,WAVE 110 I,2017,CV,42000,S1,23/11/2022,S1,PL,55,6,71.42857143,65-75%
1906,170000,167970.76,48,M,เกษตรกร,20000,PU,ISUZU,D-MAX,2006,CR,212500,S1,21/11/2022,S1,PL,58,17,80,75%
1907,18700,17972.21,18,F,อื่นๆ,10000,MC,YAMAHA,FINO (MLEKE),2012,AE,25000,S1,18/11/2022,S1,PL,28,11,74.8,65-75%
1909,13000,12649.91,18,F,อื่นๆ,12000,MC,HONDA,CLICK 110I,2011,AE,17500,S1,28/7/2022,S1,PL,49,12,74.28571429,65-75%
1910,100000,99970.69,36,M,พนักงานบริษัท,24000,CAR,HONDA,CIVIC,2002,CF,133500,S1,9/11/2022,S1,PL,30,21,74.90636704,65-75%
1911,17000,17000,24,M,พนักงานบริษัท,11000,MC,GPX,LEGEND 200,2019,AK,25000,S1,30/12/2022,S1,PL,35,4,68,65-75%
1912,32000,32000,36,M,พนักงานบริษัท,6500,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,1/12/2022,S1,PL,31,3,71.11111111,65-75%
1913,190000,190000,60,F,อื่นๆ,26000,CAR,NISSAN,ALMERA,2016,DH,273000,S1,14/12/2022,S1,PL,57,7,69.5970696,65-75%
1914,33000,33000,36,M,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,23/12/2022,S1,PL,33,3,75,65-75%
1917,30800,30707.09,36,F,อื่นๆ,9500,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,8/7/2022,S1,PL,33,5,75.12195122,75%
1918,15000,15000,12,F,STREET VENDOR,15000,MC,YAMAHA,SPARK 115 I,2015,BJ,20500,S1,26/12/2022,S1,PL,57,8,73.17073171,65-75%
1919,120000,119642.32,60,F,เกษตรกร,18000,PU,TOYOTA,HILUX VIGO,2004,DU,150000,S1,1/9/2022,S1,PL,34,19,80,75%
1920,35000,33275.69,36,M,STREET VENDOR,30000,MC,YAMAHA,GRAND FILANO 125,2019,AW,50000,S1,8/9/2022,S1,PL,53,4,70,65-75%
1922,233000,233000,60,F,พนักงานบริษัท,15000,PU,ISUZU,D-MAX,2006,CE,291500,S1,4/10/2022,S1,PL,47,17,79.93138937,75%
1923,14000,13216.64,24,M,อื่นๆ,20000,MC,YAMAHA,FINO 115,2013,AJ,19500,S1,5/10/2022,S1,PL,30,10,71.79487179,65-75%
1924,21000,19091.26,24,F,พนักงานบริษัท,13300,MC,HONDA,MSX 125,2017,BP,28000,S1,2/9/2022,S1,PL,28,6,75,65-75%
1927,30000,29270.32,24,M,พนักงานบริษัท,17000,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,17/10/2022,S1,PL,30,6,73.17073171,65-75%
1928,285000,285000,60,F,STREET VENDOR,30000,PU,ISUZU,D-MAX,2013,CA,376000,S1,24/9/2022,S1,PL,58,10,75.79787234,75%
1929,20700,19970.76,24,F,พนักงานบริษัท,31000,MC,HONDA,CLICK 125I,2015,AU,27500,S1,25/8/2022,S1,PL,41,8,75.27272727,75%
1931,31000,30965.1,36,F,STREET VENDOR,25000,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,20/8/2022,S1,PL,38,4,73.80952381,65-75%
1932,16700,16231.15,36,M,อื่นๆ,9500,MC,HONDA,SCOOPY I,2015,BP,23500,S1,26/11/2022,S1,PL,21,8,71.06382979,65-75%
1933,50000,49611.94,36,F,STREET VENDOR,30000,MC,HONDA,PCX 150,2019,DN,72000,S1,24/9/2022,S1,PL,53,4,69.44444444,65-75%
1934,15000,15000,24,F,อาจารย์,14750,MC,HONDA,SCOOPY I,2009,BA,20500,S1,1/12/2022,S1,PL,55,14,73.17073171,65-75%
1935,142000,138401.72,60,M,พนักงานบริษัท,20000,PU,ISUZU,D-MAX,2004,AY,189000,S1,24/10/2022,S1,PL,46,19,75.13227513,75%
1936,30000,30000,24,M,อื่นๆ,10000,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,23/12/2022,S1,PL,43,4,71.42857143,65-75%
1937,180000,180000,60,M,STREET VENDOR,15000,PU,ISUZU,D-MAX,2006,CN,250000,S1,31/8/2022,S1,PL,39,17,72,65-75%
1939,40000,35844.47,18,F,เกษตรกร,15000,MC,HONDA,PCX 150,2019,DN,72000,S1,2/11/2022,S1,PL,31,4,55.55555556,50-65%
1940,28600,27170.08,24,F,อื่นๆ,9000,MC,HONDA,DREAM 110,2015,CC,44000,S1,28/8/2022,S1,PL,49,8,65,65-75%
1941,30000,30000,24,F,อื่นๆ,13000,MC,HONDA,DREAM 110I,2017,CO,53000,S1,24/11/2022,S1,PL,29,6,56.60377358,50-65%
1942,25000,24232.61,24,F,พนักงานบริษัท,13000,MC,HONDA,SCOOPY I,2020,CX,46500,S1,17/11/2022,S1,PL,32,3,53.76344086,50-65%
1943,230000,230000,60,M,STREET VENDOR,40000,PU,ISUZU,D-MAX,2004,CF,232500,S1,7/12/2022,S1,PL,54,19,98.92473118,75%
1944,100000,99642.04,36,F,STREET VENDOR,30000,CAR,NISSAN,ALMERA,2012,BT,186000,S1,15/10/2022,S1,PL,38,11,53.76344086,50-65%
1945,28000,28000,24,F,STREET VENDOR,25000,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,17/12/2022,S1,PL,53,11,73.68421053,65-75%
1946,120000,119784.42,60,M,อื่นๆ,30000,PU,TOYOTA,HILUX VIGO,2007,DB,304500,S1,3/10/2022,S1,PL,59,16,39.408867,30-50%
1947,20000,18884.15,24,F,อื่นๆ,20000,MC,HONDA,MSX 125,2018,BP,37500,S1,1/10/2022,S1,PL,45,5,53.33333333,50-65%
1948,220000,220000,60,M,อื่นๆ,25000,PU,ISUZU,D-MAX,2007,CW,290500,S1,26/9/2022,S1,PL,33,16,75.73149742,75%
1949,29000,28577.74,30,F,อื่นๆ,15000,MC,HONDA,CLICK 125I,2018,BA,39000,S1,14/11/2022,S1,PL,44,5,74.35897436,65-75%
1950,25000,25000,18,M,พนักงานบริษัท,15000,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S1,24/12/2022,S1,PL,25,4,53.76344086,50-65%
1951,26000,26000,12,M,พนักงานบริษัท,38000,MC,HONDA,CLICK 125I,2018,BA,39000,S1,4/12/2022,S1,PL,49,5,66.66666667,65-75%
1952,11000,10098.99,12,F,อื่นๆ,15000,MC,YAMAHA,FINO (4DO),2009,AA,17000,S1,19/8/2022,S1,PL,40,14,64.70588235,65-75%
1953,28900,26077.07,18,M,อื่นๆ,11000,MC,HONDA,CLICK 125I,2020,BG,44500,S1,18/7/2022,S1,PL,26,3,64.94382022,65-75%
1954,130000,130000,60,M,พนักงานบริษัท,18000,PU,MITSUBISHI,TRITON,2006,AF,217000,S1,18/10/2022,S1,PL,42,17,59.9078341,50-65%
1956,145000,144976.4,60,F,STREET VENDOR,20000,PU,ISUZU,D-MAX,2003,AF,184000,S1,18/7/2022,S1,PL,34,20,78.80434783,75%
1957,79000,75483.28,36,M,พนักงานบริษัท,18000,PU,CHEVROLET,COLORADO,2012,CS,261500,S1,23/8/2022,S1,PL,39,11,30.21032505,30-50%
1958,11500,11143.71,18,F,เกษตรกร,15000,MC,HONDA,CLICK 110,2009,AH,15500,S1,24/10/2022,S1,PL,45,14,74.19354839,65-75%
1959,32000,32000,36,M,พนักงานบริษัท,18000,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,27/12/2022,S1,PL,46,5,74.41860465,65-75%
1960,33000,32904.26,12,F,เกษตรกร,15000,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,16/8/2022,S1,PL,39,3,73.33333333,65-75%
1961,18000,16752.67,24,M,STREET VENDOR,30000,MC,HONDA,SCOOPY,2010,AS,24000,S1,31/10/2022,S1,PL,27,13,75,65-75%
1962,205000,203042.82,60,M,อื่นๆ,25000,PU,MITSUBISHI,TRITON,2014,AY,291500,S1,3/11/2022,S1,PL,41,9,70.32590051,65-75%
1963,19000,18831.51,36,M,ข้าราชการ,22000,MC,YAMAHA,JUPITER RC 115,2016,AQ,26000,S1,8/8/2022,S1,PL,38,7,73.07692308,65-75%
1964,27000,27000,36,F,เกษตรกร,25000,MC,HONDA,WAVE 110 I,2012,BE,37000,S1,27/12/2022,S1,PL,59,11,72.97297297,65-75%
1966,180000,171416.69,36,M,พนักงานบริษัท,30000,CAR,TOYOTA,VIOS,2010,DZ,240000,S1,31/10/2022,S1,PL,51,13,75,65-75%
1967,14000,13975.6,18,F,เกษตรกร,15000,MC,HONDA,WAVE 110 I,2009,AF,19000,S1,20/7/2022,S1,PL,56,14,73.68421053,65-75%
1968,50000,35887.02,12,M,อื่นๆ,20000,CAR,TOYOTA,VIOS,2014,DJ,324000,S1,30/10/2022,S1,PL,52,9,15.43209877,30%
1969,33000,32954.7,18,F,อื่นๆ,10000,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,18/10/2022,S1,PL,34,4,75,65-75%
1970,28000,27940.27,36,F,พนักงานบริษัท,40000,MC,YAMAHA,GRAND FILANO 125,2017,AR,38000,S1,29/6/2022,S1,PL,31,6,73.68421053,65-75%
1971,161000,161000,60,F,พนักงานบริษัท,15000,PU,MITSUBISHI,TRITON,2010,AU,264000,S1,3/10/2022,S1,PL,47,13,60.98484848,65-75%
1972,24000,23041.89,36,F,STREET VENDOR,20000,MC,YAMAHA,GRAND FILANO 125,2016,CL,32500,S1,1/11/2022,S1,PL,54,7,73.84615385,65-75%
1973,11000,9112.18,12,M,อื่นๆ,20000,MC,HONDA,CLICK 125I,2013,AI,24500,S1,12/9/2022,S1,PL,64,10,44.89795918,30-50%
1974,11000,11000,12,F,พนักงานบริษัท,10000,MC,SUZUKI,LET'S,2014,AH,16000,S1,26/12/2022,S1,PL,45,9,68.75,65-75%
1975,110000,109549.16,48,F,เกษตรกร,10000,PU,TOYOTA,HILUX VIGO,2008,EK,225000,S1,20/10/2022,S1,PL,57,15,48.88888889,30-50%
1976,16000,15046.93,12,F,อื่นๆ,15000,MC,YAMAHA,FILANO,2013,AH,22000,S1,3/11/2022,S1,PL,59,10,72.72727273,65-75%
1977,15000,14477.12,36,M,ข้าราชการ,8000,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,21/10/2022,S1,PL,23,4,35.71428571,30-50%
1979,31700,31024.55,36,F,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,24/11/2022,S1,PL,54,5,75.47619048,75%
1980,100000,98691.47,36,M,พนักงานบริษัท,30000,PU,FORD,RANGER,2014,AZ,389000,S1,18/11/2022,S1,PL,47,9,25.70694087,30%
1982,23000,15618.28,12,F,STREET VENDOR,20000,MC,HONDA,ZOOMER X 110I,2017,CN,31000,S1,22/7/2022,S1,PL,48,6,74.19354839,65-75%
1983,26000,24827.69,36,F,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2014,CH,35000,S1,10/8/2022,S1,PL,32,9,74.28571429,65-75%
1985,140000,140000,60,M,อื่นๆ,20000,CAR,MAZDA,3,2009,BA,221500,S1,4/10/2022,S1,PL,53,14,63.20541761,65-75%
1987,50000,48949.63,36,F,เกษตรกร,25000,MC,YAMAHA,N-MAX 155,2021,CE,81500,S1,5/8/2022,S1,PL,24,2,61.34969325,65-75%
1988,30000,26778.11,24,M,เกษตรกร,9000,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,30/9/2022,S1,PL,36,6,75,65-75%
1989,54000,53988.05,24,M,พนักงานบริษัท,14000,MC,YAMAHA,N-MAX 155,2020,BJ,72500,S1,5/10/2022,S1,PL,26,3,74.48275862,65-75%
1990,87000,82986.33,48,M,อื่นๆ,14000,CAR,MITSUBISHI,LANCER,2010,AM,164500,S1,5/8/2022,S1,PL,28,13,52.88753799,50-65%
1991,20000,17384.96,24,F,พนักงานบริษัท,15000,MC,HONDA,DREAM 110I,2017,CO,53000,S1,9/8/2022,S1,PL,47,6,37.73584906,30-50%
1992,91000,90909.29,60,F,พนักงานรัฐวิสาหกิจ,15000,CAR,HONDA,CITY,2003,CJ,122500,S1,21/7/2022,S1,PL,45,20,74.28571429,65-75%
1993,126000,126000,60,F,พนักงานบริษัท,25000,CAR,TOYOTA,COROLLA ALTIS,2006,DZ,168500,S1,27/10/2022,S1,PL,43,17,74.77744807,65-75%
1994,60000,58822.04,36,M,อื่นๆ,14000,CAR,TOYOTA,COROLLA ALTIS,2002,AJ,111000,S1,6/9/2022,S1,PL,53,21,54.05405405,50-65%
1995,170000,165055.47,24,F,พนักงานบริษัท,40000,PU,TOYOTA,HILUX VIGO,2008,BZ,248000,S1,31/10/2022,S1,PL,42,15,68.5483871,65-75%
1997,177000,174437.51,60,F,พนักงานบริษัท,26500,CAR,TOYOTA,YARIS,2010,AR,236000,S1,17/10/2022,S1,PL,39,13,75,65-75%
1998,46000,45966.03,36,F,อาจารย์,20220,MC,HONDA,PCX 150,2017,CQ,61500,S1,8/8/2022,S1,PL,39,6,74.79674797,65-75%
1999,30000,30000,36,F,พนักงานบริษัท,10590,MC,HONDA,CLICK 125I,2019,BF,40000,S1,13/12/2022,S1,PL,39,4,75,65-75%
2000,12600,11496.68,12,F,อื่นๆ,8970,MC,SUZUKI,SMASH,2016,AT,19500,S1,12/7/2022,S1,PL,55,7,64.61538462,65-75%
2001,29000,27500.85,24,F,STREET VENDOR,25000,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,6/10/2022,S1,PL,54,4,74.55012853,65-75%
2002,35000,34198.4,36,F,อื่นๆ,10000,MC,HONDA,SCOOPY I,2020,AJ,47000,S1,8/12/2022,S1,PL,26,3,74.46808511,65-75%
2003,300000,300000,60,F,STREET VENDOR,20000,PU,ISUZU,D-MAX,2016,CB,396500,S1,17/10/2022,S1,PL,45,7,75.66204288,75%
2004,31800,31400.61,36,M,เกษตรกร,15000,MC,HONDA,DREAM 110,2016,CB,45000,S1,15/11/2022,S1,PL,67,7,70.66666667,65-75%
2005,119700,118115.75,48,M,อื่นๆ,15000,CAR,TOYOTA,VIOS,2008,AN,201000,S1,16/11/2022,S1,PL,43,15,59.55223881,50-65%
2006,170000,168343.52,60,M,พนักงานบริษัท,30000,PU,ISUZU,D-MAX,2005,BO,251000,S1,6/9/2022,S1,PL,40,18,67.72908367,65-75%
2007,170000,167201.58,60,F,STREET VENDOR,40000,PU,ISUZU,D-MAX,2005,CE,217000,S1,29/11/2022,S1,PL,36,18,78.34101382,75%
2008,215000,210658.82,36,F,STREET VENDOR,30000,VAN,HYUNDAI,H1,2015,AG,712000,S1,2/10/2022,S1,PL,38,8,30.19662921,30-50%
2009,213000,213000,60,M,เกษตรกร,20000,PU,MAZDA,BT-50PRO,2014,BB,328000,S1,13/9/2022,S1,PL,42,9,64.93902439,65-75%
2010,20000,19651.32,36,F,STREET VENDOR,22000,MC,HONDA,WAVE 110 I,2012,AZ,35000,S1,28/10/2022,S1,PL,66,11,57.14285714,50-65%
2011,172000,171771.32,60,M,อื่นๆ,20000,CAR,NISSAN,MARCH,2016,AR,265000,S1,10/10/2022,S1,PL,31,7,64.90566038,65-75%
2012,20000,16483.04,18,M,พนักงานรัฐวิสาหกิจ,16868,MC,HONDA,WAVE 125 I,2016,CE,30900,S1,27/7/2022,S1,PL,40,7,64.72491909,65-75%
2013,28000,28000,18,M,พนักงานบริษัท,12000,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,8/12/2022,S1,PL,26,11,73.68421053,65-75%
2014,100000,98419.06,60,F,พนักงานบริษัท,12000,CAR,MG,MG3,2018,AA,248000,S1,6/12/2022,S1,PL,26,5,40.32258065,30-50%
2017,50000,44754.77,24,M,พนักงานบริษัท,28000,MC,HONDA,PCX 150I,2020,CP,76500,S1,11/10/2022,S1,PL,61,3,65.35947712,65-75%
2018,10000,9156.57,24,M,พนักงานบริษัท,10000,MC,STALLION,CENTAUR 250,2017,AB,36000,S1,1/9/2022,S1,PL,29,6,27.77777778,30%
2019,32000,32000,36,F,STREET VENDOR,15000,MC,HONDA,WAVE 110 I,2019,DS,43000,S1,20/12/2022,S1,PL,24,4,74.41860465,65-75%
2020,100000,100000,60,M,พนักงานรัฐวิสาหกิจ,30000,CAR,HONDA,CITY,2006,AK,159000,S1,3/11/2022,S1,PL,37,17,62.89308176,65-75%
2021,80000,77657.35,30,M,เลี้ยงสัตว์,16000,PU,TOYOTA,HILUX TIGER,2003,BD,179500,S1,16/11/2022,S1,PL,57,20,44.56824513,30-50%
2022,30000,29252.76,24,M,พนักงานรัฐวิสาหกิจ,12000,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,7/11/2022,S1,PL,56,3,66.66666667,65-75%
2023,160000,160000,36,F,เกษตรกร,20000,PU,TOYOTA,HILUX VIGO,2012,DW,383000,S1,14/12/2022,S1,PL,60,11,41.77545692,30-50%
2024,128000,126849.83,60,F,STREET VENDOR,30000,CAR,TOYOTA,CAMRY,2004,DI,179000,S1,4/8/2022,S1,PL,43,19,71.50837989,65-75%
2025,205000,205000,60,M,STREET VENDOR,25000,PU,TOYOTA,HILUX VIGO,2005,CL,256500,S1,28/10/2022,S1,PL,46,18,79.92202729,75%
2026,30000,26618.83,24,M,อื่นๆ,40000,CAR,CHEVROLET,AVEO,2012,BT,121000,S1,21/6/2022,S1,PL,29,11,24.79338843,30%
2027,30000,29959.48,24,F,อื่นๆ,20000,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S2,14/1/2023,S1,PL,44,4,64.51612903,65-75%
2028,90000,89933.6,24,M,พนักงานบริษัท,15000,PU,MITSUBISHI,TRITON,2012,AO,157000,S2,9/1/2023,S1,PL,57,11,57.32484076,50-65%
2030,17000,16920.59,36,M,อื่นๆ,20000,MC,KAWASAKI,NEW KSR 110,2014,AL,24500,S1,27/6/2022,S1,PL,35,9,69.3877551,65-75%
2031,17000,16790.22,18,M,พนักงานบริษัท,20000,MC,YAMAHA,FILANO,2012,AA,23500,S1,27/6/2022,S1,PL,38,11,72.34042553,65-75%
2032,26000,23070.54,12,F,พนักงานรัฐวิสาหกิจ,19950,MC,YAMAHA,FINO (MLEKE),2010,AL,35000,S2,6/1/2023,S1,PL,39,13,74.28571429,65-75%
2033,40000,39506.09,36,F,STREET VENDOR,12000,MC,HONDA,PCX 150I,2019,CF,72000,S2,6/1/2023,S1,PL,35,4,55.55555556,50-65%
2034,185000,184655.71,48,F,STREET VENDOR,20000,PU,ISUZU,D-MAX,2008,BE,270500,S1,28/6/2022,S1,PL,50,15,68.39186691,65-75%
2035,23000,21696.55,18,M,STREET VENDOR,24000,MC,YAMAHA,FINO (MLEKE),2011,AD,35500,S2,6/1/2023,S1,PL,67,12,64.78873239,65-75%
2036,19500,19276.06,36,F,STREET VENDOR,20000,MC,HONDA,WAVE 110I,2016,BV,26000,S2,6/1/2023,S1,PL,44,7,75,65-75%
2037,21000,18421.05,18,F,อื่นๆ,6500,MC,YAMAHA,GRAND FILANO 125,2015,BF,33000,S2,6/1/2023,S1,PL,47,8,63.63636364,65-75%
2038,22000,21385.62,24,F,STREET VENDOR,30000,MC,YAMAHA,GRAND FILANO 125,2015,BH,31000,S1,4/1/2023,S2,PL,55,8,70.96774194,65-75%
2040,10000,5181.42,12,F,พนักงานบริษัท,19500,MC,HONDA,SCOOPY I,2020,CX,46500,S1,29/6/2022,S1,PL,29,3,21.50537634,30%
2042,17000,14831.51,24,M,อื่นๆ,15000,MC,HONDA,WAVE 100,2010,AW,26000,S1,29/6/2022,S1,PL,49,13,65.38461538,65-75%
2043,25500,25213.02,24,M,STREET VENDOR,28000,CAR,TOYOTA,SOLUNA,2000,CP,86000,S1,29/6/2022,S1,PL,62,23,29.65116279,30%
2044,170000,167403.74,48,F,STREET VENDOR,20000,CAR,SUZUKI,SWIFT,2014,AJ,275000,S2,6/1/2023,S1,PL,40,9,61.81818182,65-75%
2045,10000,5949.79,12,M,เกษตรกร,20000,MC,HONDA,WAVE 110 I,2019,DS,43000,S2,6/1/2023,S1,PL,50,4,23.25581395,30%
2047,200000,199750.29,60,F,เกษตรกร,20000,PU,MITSUBISHI,TRITON,2012,BU,372000,S2,6/1/2023,S1,PL,33,11,53.76344086,50-65%
2048,150000,150000,60,M,STREET VENDOR,19000,MC,YAMAHA,FINO (MLEKE),2012,AE,25000,S2,9/1/2023,S1,PL,43,11,600,30%
2049,16000,15990.65,18,M,พนักงานบริษัท,13000,MC,HONDA,MSX 125,2014,BB,26000,S1,30/6/2022,S1,PL,28,9,61.53846154,65-75%
2050,26000,21697.43,18,F,เกษตรกร,15000,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,30/6/2022,S1,PL,37,7,65,65-75%
2051,30000,29769.9,24,F,อื่นๆ,12000,MC,HONDA,WAVE 110 I,2019,DS,43000,S2,3/1/2023,S1,PL,39,4,69.76744186,65-75%
2052,20000,19525,24,M,อื่นๆ,12000,MC,YAMAHA,FINO (MLEKE),2011,AD,35500,S1,13/1/2023,S2,PL,32,12,56.33802817,50-65%
2053,18500,18327.61,18,M,อื่นๆ,11000,MC,YAMAHA,FINN 115I,2018,AI,28500,S1,1/7/2022,S1,PL,33,5,64.9122807,65-75%
2054,11000,8687.89,12,F,STREET VENDOR,38000,MC,GPX,DEMON 125,2016,AF,16000,S1,3/7/2022,S1,PL,36,7,68.75,65-75%
2056,17500,17428.68,36,F,พนักงานรัฐวิสาหกิจ,18370,MC,HONDA,MSX 125,2013,AQ,23500,S1,28/12/2022,S2,PL,41,10,74.46808511,65-75%
2057,20000,20000,18,M,ข้าราชการ,30000,MC,HONDA,DREAM 125,2007,AG,27000,S2,6/1/2023,S1,PL,69,16,74.07407407,65-75%
2058,35000,34909.64,24,M,อื่นๆ,15000,MC,HONDA,DREAM 110I,2017,CO,53000,S1,4/7/2022,S1,PL,28,6,66.03773585,65-75%
2059,23000,22986.88,18,F,อื่นๆ,17000,MC,HONDA,SCOOPY,2011,AR,31000,S1,4/7/2022,S1,PL,37,12,74.19354839,65-75%
2061,146000,144738.43,60,F,STREET VENDOR,40000,CAR,MITSUBISHI,ATTRAGE,2014,AB,207500,S2,6/1/2023,S1,PL,30,9,70.36144578,65-75%
2062,17000,14143.92,24,M,อื่นๆ,20000,MC,HONDA,SCOOPY I,2015,CQ,31000,S1,6/7/2022,S1,PL,53,8,54.83870968,50-65%
2063,113000,112817.38,48,F,พนักงานบริษัท,10000,CAR,MITSUBISHI,MIRAGE,2013,AD,162000,S2,6/1/2023,S1,PL,31,10,69.75308642,65-75%
2065,16500,15955.47,36,F,พนักงานบริษัท,16000,MC,SUZUKI,SHOOTER,2015,AL,24000,S1,6/7/2022,S1,PL,55,8,68.75,65-75%
2066,178000,174556.84,60,M,เกษตรกร,13000,PU,ISUZU,D-MAX,2006,CQ,221500,S1,6/7/2022,S1,PL,38,17,80.36117381,75%
2067,33000,31877.48,24,F,STREET VENDOR,15000,MC,HONDA,WAVE 110 I,2020,EI,45000,S2,6/1/2023,S1,PL,38,3,73.33333333,65-75%
2068,196000,192056.58,48,M,พนักงานบริษัท,40000,CAR,HONDA,CITY,2012,BS,302000,S2,6/1/2023,S1,PL,42,11,64.90066225,65-75%
2069,24000,21930.71,24,F,พนักงานบริษัท,20000,MC,HONDA,WAVE 110 I,2015,CM,38000,S2,12/1/2023,S1,PL,40,8,63.15789474,65-75%
2070,240000,238676.22,60,F,ข้าราชการ,22230,PU,TOYOTA,HILUX VIGO,2009,EW,308000,S1,9/11/2022,S2,PL,40,14,77.92207792,75%
2071,195000,194986.62,36,F,STREET VENDOR,30000,CAR,TOYOTA,VIOS,2015,DL,319000,S2,6/1/2023,S1,PL,51,8,61.12852665,65-75%
2072,26600,23346.05,24,F,อื่นๆ,9000,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,15/1/2023,S2,PL,56,10,74.92957746,65-75%
2074,29000,28912.73,36,M,เกษตรกร,35000,MC,HONDA,WAVE 110 I,2016,CI,39000,S1,12/12/2022,S2,PL,43,7,74.35897436,65-75%
2075,30000,28107.93,36,F,เกษตรกร,30000,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,7/7/2022,S1,PL,53,6,75,65-75%
