,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
1447,25000.0,24866.29,36,F,อื่นๆ,20000.0,MC,HONDA,WAVE 110 I,2012,AZ,35000,S2,2022-11-18,S1,NPL,51,11
1448,97800.0,94964.67,42,M,STREET VENDOR,25000.0,CAR,TOYOTA,VIOS,2006,AJ,130500,S2,2023-01-12,S3,NPL,66,17
1449,50000.0,49857.68,36,M,อื่นๆ,12000.0,MC,VESPA,SPRINT 125,2020,AM,85000,S2,2022-11-24,S1,NPL,40,3
1450,14000.0,13967.4,36,F,พนักงานบริษัท,20000.0,MC,HONDA,SCOOPY I,2013,BH,19000,S2,2022-11-29,S1,NPL,42,10
1451,12000.0,11979.73,18,M,พนักงานบริษัท,9000.0,MC,GPX,DEMON 125,2017,AF,17000,S1,2023-01-06,S2,NPL,22,6
1452,25000.0,24765.58,36,M,STREET VENDOR,15000.0,MC,HONDA,PCX 150,2013,BS,41500,S2,2022-11-18,S1,NPL,26,10
1453,31500.0,30413.24,24,F,ข้าราชการ,19430.0,MC,HONDA,CLICK 125I,2019,BD,42000,S2,2022-11-29,S1,NPL,33,4
1454,18000.0,17938.8,36,F,พนักงานบริษัท,13000.0,MC,HONDA,CLICK 125I,2013,AI,24500,S2,2022-11-29,S1,NPL,23,10
1455,40000.0,38719.34,24,M,อื่นๆ,10000.0,MC,HONDA,PCX 150,2016,CF,56000,S3,2023-01-02,S2,NPL,28,7
1456,15000.0,14518.31,18,M,อื่นๆ,9000.0,MC,HONDA,WAVE 110 I,2021,DM,44000,S2,2022-11-27,S1,NPL,32,2
1457,27700.0,27700.0,36,M,STREET VENDOR,15000.0,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S3,2023-01-02,S2,NPL,38,7
1458,25000.0,24779.96,36,F,STREET VENDOR,10000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S2,2022-11-21,S1,NPL,32,10
1459,140000.0,138829.83,60,F,พนักงานบริษัท,20000.0,CAR,MAZDA,3,2008,BY,225000,S2,2022-11-29,S1,NPL,39,15
1460,28500.0,28500.0,18,F,พนักงานบริษัท,18000.0,MC,YAMAHA,GRAND FILANO 125,2017,AR,38000,S3,2023-01-02,S2,NPL,31,6
1461,20800.0,20385.43,12,M,พนักงานบริษัท,20000.0,MC,HONDA,SCOOPY I,2018,AO,45000,S3,2023-01-02,S2,NPL,31,5
1462,91000.0,90941.18,60,F,STREET VENDOR,15000.0,CAR,NISSAN,MARCH,2010,CA,140000,S3,2023-01-05,S2,NPL,32,13
1463,15000.0,14902.51,36,M,STREET VENDOR,20000.0,MC,HONDA,WAVE 100,2007,AI,20000,S2,2022-11-29,S1,NPL,44,16
1465,250000.0,250000.0,54,F,พนักงานบริษัท,17983.0,CAR,HONDA,JAZZ,2014,CJ,410000,S3,2023-01-02,S2,NPL,40,9
1467,70000.0,70000.0,36,F,พนักงานบริษัท,18000.0,MC,HONDA,PCX 160,2021,BR,95500,S3,2023-01-02,S2,NPL,31,2
1468,27300.0,27300.0,12,F,STREET VENDOR,25000.0,MC,HONDA,SUPER CUB 110,2018,CA,36500,S3,2023-01-13,S2,NPL,34,5
1469,200000.0,199020.27,60,F,เกษตรกร,25000.0,PU,TOYOTA,HILUX VIGO,2005,CM,301500,S2,2022-10-30,S1,NPL,61,18
1470,33000.0,33000.0,36,M,อื่นๆ,19000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S3,2023-01-02,S2,NPL,44,4
1471,50000.0,50000.0,36,F,STREET VENDOR,20000.0,MC,YAMAHA,N-MAX 155,2020,BJ,72500,S3,2023-01-13,S2,NPL,41,3
1472,30000.0,30000.0,36,F,อื่นๆ,18000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S3,2023-01-02,S2,NPL,32,6
1473,15700.0,15700.0,24,M,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S2,2022-11-18,S1,NPL,41,12
1474,28000.0,27364.81,24,F,พนักงานบริษัท,19000.0,MC,HONDA,MSX 125,2018,BP,37500,S2,2022-11-29,S1,NPL,40,5
1475,27000.0,27000.0,36,F,พนักงานบริษัท,20000.0,MC,YAMAHA,FINO 125,2018,AN,36500,S3,2023-01-08,S2,NPL,34,5
1476,80500.0,80500.0,48,F,เกษตรกร,30000.0,CAR,HONDA,JAZZ,2005,BI,161500,S3,2023-01-02,S2,NPL,25,18
1477,180000.0,180000.0,60,F,บุคลากรทางการแพทย์,26690.0,PU,TOYOTA,FORTUNER,2015,FP,831000,S3,2023-01-08,S2,NPL,44,8
1478,190000.0,190000.0,60,M,STREET VENDOR,15000.0,PU,ISUZU,D-MAX,2005,DH,238000,S3,2023-01-11,S2,NPL,39,18
