,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
17,295000.0,295000.0,60,M,เกษตรกร,21250.0,PU,ISUZU,D-MAX,2011,BR,392500,S1,2022-12-19,S1,PL,51,12
18,33000.0,31690.06,24,M,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-11-22,S1,PL,48,4
19,142000.0,141901.83,60,M,อื่นๆ,20000.0,PU,TOYOTA,HILUX VIGO,2008,EI,204000,S1,2022-08-22,S1,PL,60,15
20,200000.0,198385.72,48,F,พนักงานบริษัท,15000.0,PU,ISUZU,D-MAX,2013,BR,374500,S1,2022-10-05,S1,PL,41,10
22,189000.0,188941.36,60,M,พนักงานบริษัท,22000.0,CAR,NISSAN,ALMERA,2016,BD,269500,S1,2022-10-16,S1,PL,40,7
23,100000.0,100000.0,60,F,STREET VENDOR,16000.0,CAR,TOYOTA,VIOS,2010,DX,222000,S1,2022-12-28,S1,PL,56,13
24,30000.0,28781.93,36,M,เกษตรกร,18000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-10-28,S1,PL,42,5
25,190000.0,190000.0,60,M,เลี้ยงสัตว์,40000.0,PU,MITSUBISHI,TRITON,2010,BO,205000,S1,2022-11-10,S1,PL,47,13
26,283000.0,283000.0,60,F,บุคลากรทางการแพทย์,25000.0,PU,ISUZU,D-MAX,2011,AM,353500,S1,2022-10-20,S1,PL,30,12
27,26000.0,25006.47,24,M,พนักงานบริษัท,30000.0,MC,HONDA,SCOOPY I,2019,AM,46000,S1,2022-10-04,S1,PL,46,4
28,15000.0,13733.61,18,F,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2010,AG,20000,S1,2022-09-26,S1,PL,47,13
30,100000.0,97109.66,48,M,เกษตรกร,29400.0,PU,TOYOTA,HILUX VIGO,2006,CT,321500,S1,2022-12-17,S1,PL,50,17
31,15400.0,14994.38,36,F,อื่นๆ,15000.0,MC,HONDA,SCOOPY I,2009,BA,20500,S1,2022-11-16,S1,PL,42,14
33,30000.0,30000.0,36,M,STREET VENDOR,40000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-11-16,S1,PL,29,5
34,155000.0,143522.92,12,F,STREET VENDOR,40000.0,CAR,HONDA,CITY,2012,BQ,271000,S1,2022-11-27,S1,PL,43,11
36,300000.0,300000.0,60,F,เกษตรกร,20000.0,PU,ISUZU,D-MAX,2012,CJ,375500,S1,2022-12-12,S1,PL,45,11
37,3000.0,2121.44,12,M,พนักงานบริษัท,25000.0,MC,YAMAHA,MIO 115,2005,AH,10000,S1,2022-07-18,S1,PL,46,18
39,19000.0,18079.94,36,F,เกษตรกร,15000.0,MC,HONDA,MSX 125,2014,BB,26000,S1,2022-11-11,S1,PL,62,9
40,26300.0,26300.0,36,M,STREET VENDOR,30000.0,CAR,HONDA,CITY,2000,DQ,92500,S1,2022-12-03,S1,PL,52,23
41,30700.0,30687.88,36,M,พนักงานบริษัท,17500.0,MC,YAMAHA,M-SLAZ 150,2018,BF,41000,S1,2022-06-30,S1,PL,33,5
44,50000.0,47278.17,24,M,STREET VENDOR,15000.0,MC,HONDA,PCX 150,2019,DN,72000,S1,2022-09-26,S1,PL,61,4
45,129000.0,129000.0,36,M,พนักงานบริษัท,23000.0,CAR,HONDA,CIVIC,2005,AY,171500,S1,2022-08-25,S1,PL,41,18
46,22200.0,22200.0,18,M,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2016,AV,29500,S1,2022-12-21,S1,PL,41,7
47,100000.0,93141.81,36,M,STREET VENDOR,35000.0,CAR,TOYOTA,CAMRY,2004,AJ,184500,S1,2022-11-17,S1,PL,43,19
48,19500.0,19464.97,18,F,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2014,AO,26000,S1,2022-09-22,S1,PL,48,9
