,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate,F,M
86,40000.0,27707.63,12,อื่นๆ,9000.0,MC,HONDA,PCX 160,2022,BT,84000,S1,2022-09-01,S1,PL,34,1,47.61904761904761,30-50%,1,0
87,180000.0,177837.87,60,เกษตรกร,30000.0,CAR,HONDA,CITY,2010,AS,251500,S1,2022-12-06,S1,PL,42,13,71.57057654075547,65-75%,0,1
88,105000.0,102234.04,48,พนักงานบริษัท,10050.0,CAR,HONDA,JAZZ,2004,AI,140000,S1,2022-10-19,S1,PL,39,19,75.0,65-75%,1,0
89,30000.0,22955.87,24,อื่นๆ,15000.0,CAR,HONDA,CR-V,1998,BF,105500,S1,2022-07-27,S1,PL,60,25,28.436018957345972,30%,0,1
90,150000.0,134813.57,36,พนักงานบริษัท,40000.0,PU,MITSUBISHI,TRITON,2008,AN,217500,S1,2022-06-29,S1,PL,50,15,68.96551724137932,65-75%,0,1
91,40000.0,40000.0,24,ข้าราชการ,7000.0,MC,YAMAHA,M-SLAZ 150,2016,AR,37000,S1,2022-11-17,S1,PL,52,7,108.10810810810811,30%,1,0
92,18800.0,18800.0,24,อื่นๆ,12000.0,MC,SUZUKI,SMASH 115,2015,AS,29000,S1,2022-12-24,S1,PL,53,8,64.82758620689654,65-75%,1,0
93,193000.0,193000.0,60,STREET VENDOR,15000.0,CAR,SUZUKI,CIAZ,2016,AH,275500,S1,2022-11-17,S1,PL,29,7,70.05444646098003,65-75%,1,0
94,35000.0,31860.09,18,พนักงานบริษัท,30000.0,MC,HONDA,CLICK 150I,2018,BE,47000,S1,2022-10-18,S1,PL,52,5,74.46808510638297,65-75%,0,1
95,50000.0,48153.24,24,พนักงานบริษัท,20000.0,PU,TOYOTA,HILUX VIGO,2007,CV,245000,S1,2022-12-01,S1,PL,44,16,20.408163265306122,30%,0,1
96,31500.0,31469.43,36,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,2022-08-04,S1,PL,46,4,75.0,65-75%,1,0
98,220000.0,218709.73,60,เกษตรกร,20000.0,PU,ISUZU,D-MAX,2014,CR,531000,S1,2022-08-26,S1,PL,49,9,41.431261770244824,30-50%,0,1
99,239000.0,239000.0,60,STREET VENDOR,40000.0,PU,TOYOTA,HILUX VIGO,2009,EX,342000,S1,2022-09-13,S1,PL,43,14,69.88304093567251,65-75%,0,1
100,154000.0,153992.84,36,อื่นๆ,30000.0,PU,ISUZU,D-MAX,2003,AO,191500,S1,2022-08-29,S1,PL,52,20,80.4177545691906,75%,1,0
102,200000.0,200000.0,60,ข้าราชการ,36000.0,PU,ISUZU,D-MAX,2007,CO,309500,S1,2022-12-27,S1,PL,51,16,64.62035541195476,65-75%,1,0
103,20000.0,18482.01,24,อื่นๆ,15000.0,MC,YAMAHA,QBIX 125 S,2018,BX,36500,S1,2022-11-15,S1,PL,25,5,54.794520547945204,50-65%,0,1
104,135500.0,135500.0,48,STREET VENDOR,15000.0,CAR,NISSAN,MARCH,2017,AK,208500,S1,2022-11-03,S1,PL,64,6,64.98800959232614,65-75%,1,0
105,39700.0,39700.0,36,อื่นๆ,15000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S1,2022-12-31,S1,PL,34,6,74.90566037735849,65-75%,0,1
106,18000.0,17695.93,36,STREET VENDOR,9000.0,MC,HONDA,SCOOPY I,2013,BG,24000,S1,2022-07-27,S1,PL,48,10,75.0,65-75%,1,0
107,80000.0,78882.2,48,พนักงานบริษัท,15000.0,CAR,HONDA,CITY,2003,AI,118500,S1,2022-11-08,S1,PL,36,20,67.51054852320675,65-75%,1,0
108,130000.0,130000.0,60,เกษตรกร,15000.0,PU,MITSUBISHI,TRITON,2007,BF,205000,S1,2022-11-15,S1,PL,57,16,63.41463414634146,65-75%,0,1
109,8000.0,7759.89,18,อาจารย์,20280.0,MC,HONDA,CLICK 110,2008,AB,14000,S1,2022-10-15,S1,PL,43,15,57.14285714285714,50-65%,1,0
110,31500.0,31495.35,36,อื่นๆ,20000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S1,2022-08-09,S1,PL,45,4,75.0,65-75%,0,1
111,33000.0,32926.1,24,พนักงานบริษัท,20000.0,MC,YAMAHA,AEROX 155,2018,AB,44000,S1,2022-11-21,S1,PL,48,5,75.0,65-75%,0,1
112,24000.0,24000.0,36,อื่นๆ,20000.0,MC,HONDA,WAVE 125 I,2017,CP,32500,S1,2022-12-06,S1,PL,35,6,73.84615384615385,65-75%,0,1
113,250000.0,249921.06,48,เกษตรกร,40000.0,PU,ISUZU,D-MAX,2013,BR,374500,S1,2022-07-06,S1,PL,38,10,66.75567423230974,65-75%,1,0
114,40000.0,37930.36,24,เกษตรกร,20000.0,MC,KAWASAKI,ER6N 650,2012,AF,81000,S1,2022-09-09,S1,PL,22,11,49.382716049382715,30-50%,1,0
116,33000.0,32964.99,30,อื่นๆ,24000.0,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,2022-08-27,S1,PL,43,3,73.33333333333333,65-75%,0,1
117,15000.0,14828.28,24,พนักงานบริษัท,15000.0,MC,HONDA,SCOOPY I,2009,BA,20500,S1,2022-09-10,S1,PL,31,14,73.17073170731707,65-75%,0,1
118,28500.0,27192.47,24,อื่นๆ,13000.0,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,2022-12-13,S1,PL,59,11,75.0,65-75%,1,0
119,198000.0,197944.65,60,อื่นๆ,17000.0,CAR,TOYOTA,COROLLA ALTIS,2012,ER,305000,S1,2022-07-26,S1,PL,43,11,64.91803278688525,65-75%,1,0
120,30000.0,28513.43,36,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-09-12,S1,PL,50,5,73.17073170731707,65-75%,1,0
121,170000.0,170000.0,48,อื่นๆ,15000.0,PU,MITSUBISHI,TRITON,2013,AY,346000,S1,2022-12-03,S1,PL,37,10,49.13294797687861,30-50%,0,1
122,81000.0,81000.0,60,STREET VENDOR,20000.0,CAR,HONDA,CITY,2003,AC,108500,S1,2022-09-06,S1,PL,47,20,74.65437788018433,65-75%,0,1
